study,year,journal,age,n_tot,group_type,b_w,n1,n2,m1,sd1,m2,sd2
69,2011,3,3,66,2,1,33,33,23.97,11.61,31.97,7.24
70,2017,3,3,99,2,1,33,35,23.75,8.78,31.54,9.92
70,2017,3,3,99,2,1,33,31,23.75,8.78,30.9,8
70,2017,3,3,99,2,1,35,31,31.54,9.92,30.9,8
70,2017,3,3,99,2,1,33,35,4.9,1.86,5.85,2.66
70,2017,3,3,99,2,1,33,31,4.9,1.86,7.64,2.16
70,2017,3,3,99,2,1,35,31,5.85,2.66,7.64,2.16
71,2019,3,3,27,2,1,14,13,8,0,7.92,0.28
71,2019,3,3,27,2,1,14,13,12.57,4.24,12.38,4.7
71,2019,3,3,27,2,1,14,13,8.57,5.73,9.38,5.56
72,2018,3,3,154,2,1,76,78,6.95,4.57,9.76,3.79
73,2019,3,2,100,2,1,50,50,53.48,9.15,55.96,11.56
73,2019,3,2,100,2,1,50,50,62,23.08,82.2,11.84
74,2017,3,3,81,2,1,18,26,16.89,3.32,21.73,3.41
74,2017,3,3,81,2,1,18,19,16.89,3.32,25.16,5.76
74,2017,3,3,81,2,1,26,19,21.73,3.41,25.16,5.76
75,2020,1,3,178,3,2,35,35,6.34,3.4,27.31,8.26
75,2020,1,3,178,3,2,28,28,5.21,3.53,26.46,8.46
75,2020,1,3,178,3,2,32,32,7.03,3.63,23.56,6.9
75,2020,1,3,178,3,2,33,33,5.39,2.61,14.42,6.19
75,2020,1,3,178,2,1,35,28,27.31,8.26,26.46,8.46
75,2020,1,3,178,2,1,32,33,23.56,6.9,14.42,6.19
75,2020,1,3,178,2,1,35,32,27.31,8.26,23.56,6.9
75,2020,1,3,178,2,1,28,33,26.46,8.46,14.42,6.19
76,2020,1,3,26,2,1,13,13,8.33,3.67,9.9,2.21
76,2020,1,3,26,2,1,13,13,7.13,3.97,8.27,2.19
77,2020,1,3,73,3,2,29,29,2.59,1.82,10.07,2.55
77,2020,1,3,73,3,2,29,29,3.62,2.48,10.86,1.33
77,2020,1,3,73,3,2,29,29,4.52,1.81,10.03,1.72
77,2020,1,3,73,3,2,23,23,2.09,1.24,8.61,2.66
77,2020,1,3,73,3,2,23,23,3.57,1.88,9.52,2.13
77,2020,1,3,73,3,2,23,23,3.48,2.11,8.04,2.77
78,2020,2,2,118,3,2,36,36,17.08,4.35,21.06,4.29
78,2020,2,2,118,3,2,41,41,15.76,3.57,18.61,3.62
78,2020,2,2,118,3,2,41,41,14.24,2.7,16.93,3.33
79,2019,3,3,216,7,2,216,216,6.11,3.6,6.91,3.87
79,2019,3,3,216,7,2,216,216,6.11,3.6,6.48,3.97
79,2019,3,3,216,7,2,216,216,6.11,3.6,6.72,4.21
80,2020,3,1,96,2,1,24,24,,,,
80,2020,3,1,96,2,1,24,24,,,,
80,2020,3,1,96,2,1,24,24,,,,
80,2020,3,1,96,2,1,24,24,,,,
80,2020,3,1,96,2,1,24,24,,,,
80,2020,3,1,96,2,1,24,24,,,,
81,2020,5,4,47,2,1,16,16,7.2,1.5,10.8,0.95
81,2020,5,4,47,2,1,16,16,7.1,0.83,9.5,1.3
82,2019,5,3,116,2,1,29,29,76,25,79,25
82,2019,5,3,116,2,1,29,29,42,20,51,28
82,2019,5,3,116,2,1,29,29,76,25,42,20
82,2019,5,3,116,2,1,29,29,79,25,51,28
